Date,Date,Date
01/22/2013,01/22/2013,371
01/22/2014,01/22/2014,420
01/22/2015,01/22/2015,423
01/22/2016,01/22/2016,455
01/22/2017,01/22/2017,418
01/22/2018,01/22/2018,371
01/23/2003,01/23/2003,454
01/23/2004,01/23/2004,489
01/23/2005,01/23/2005,358
01/23/2006,01/23/2006,421
01/23/2007,01/23/2007,375
01/23/2008,01/23/2008,374
01/23/2009,01/23/2009,318
01/23/2010,01/23/2010,361
01/23/2011,01/23/2011,334
01/23/2012,01/23/2012,335
01/23/2013,01/23/2013,430
01/23/2014,01/23/2014,426
01/23/2015,01/23/2015,445
01/23/2016,01/23/2016,486
01/23/2017,01/23/2017,457
01/23/2018,01/23/2018,404
01/24/2003,01/24/2003,466
01/24/2004,01/24/2004,459
01/24/2005,01/24/2005,360
01/24/2006,01/24/2006,358
01/24/2007,01/24/2007,314
01/24/2008,01/24/2008,345
01/24/2009,01/24/2009,396
01/24/2010,01/24/2010,357
01/24/2011,01/24/2011,306
01/24/2012,01/24/2012,339
01/24/2013,01/24/2013,471
01/24/2014,01/24/2014,473
01/24/2015,01/24/2015,454
01/24/2016,01/24/2016,400
01/24/2017,01/24/2017,439
01/24/2018,01/24/2018,350
01/25/2003,01/25/2003,469
01/25/2004,01/25/2004,405
01/25/2005,01/25/2005,382
01/25/2006,01/25/2006,418
01/25/2007,01/25/2007,358
01/25/2008,01/25/2008,333
01/25/2009,01/25/2009,343
01/25/2010,01/25/2010,393
01/25/2011,01/25/2011,370
01/25/2012,01/25/2012,474
01/25/2013,01/25/2013,505
01/25/2014,01/25/2014,465
01/25/2015,01/25/2015,365
01/25/2016,01/25/2016,401
01/25/2017,01/25/2017,414
01/25/2018,01/25/2018,367
01/26/2003,01/26/2003,341
01/26/2004,01/26/2004,415
01/26/2005,01/26/2005,394
01/26/2006,01/26/2006,386
01/26/2007,01/26/2007,359
01/26/2008,01/26/2008,316
01/26/2009,01/26/2009,364
01/26/2010,01/26/2010,342
01/26/2011,01/26/2011,396
01/26/2012,01/26/2012,393
01/26/2013,01/26/2013,449
01/26/2014,01/26/2014,405
01/26/2015,01/26/2015,372
01/26/2016,01/26/2016,448
01/26/2017,01/26/2017,447
01/26/2018,01/26/2018,381
01/27/2003,01/27/2003,417
01/27/2004,01/27/2004,426
01/27/2005,01/27/2005,422
01/27/2006,01/27/2006,380
01/27/2007,01/27/2007,346
01/27/2008,01/27/2008,316
01/27/2009,01/27/2009,392
01/27/2010,01/27/2010,417
01/27/2011,01/27/2011,387
01/27/2012,01/27/2012,424
01/27/2013,01/27/2013,386
01/27/2014,01/27/2014,432
01/27/2015,01/27/2015,473
01/27/2016,01/27/2016,446
01/27/2017,01/27/2017,443
01/27/2018,01/27/2018,386
01/28/2003,01/28/2003,445
01/28/2004,01/28/2004,453
01/28/2005,01/28/2005,425
01/28/2006,01/28/2006,289
01/28/2007,01/28/2007,342
01/28/2008,01/28/2008,384
01/28/2009,01/28/2009,376
01/28/2010,01/28/2010,345
01/28/2011,01/28/2011,407
01/28/2012,01/28/2012,411
01/28/2013,01/28/2013,405
01/28/2014,01/28/2014,385
01/28/2015,01/28/2015,443
01/28/2016,01/28/2016,394
01/28/2017,01/28/2017,427
01/28/2018,01/28/2018,345
01/29/2003,01/29/2003,510
01/29/2004,01/29/2004,463
01/29/2005,01/29/2005,377
01/29/2006,01/29/2006,341
01/29/2007,01/29/2007,374
01/29/2008,01/29/2008,434
01/29/2009,01/29/2009,335
01/29/2010,01/29/2010,373
01/29/2011,01/29/2011,332
01/29/2012,01/29/2012,370
01/29/2013,01/29/2013,395
01/29/2014,01/29/2014,375
01/29/2015,01/29/2015,444
01/29/2016,01/29/2016,514
01/29/2017,01/29/2017,424
01/29/2018,01/29/2018,351
01/30/2003,01/30/2003,416
01/30/2004,01/30/2004,475
01/30/2005,01/30/2005,375
01/30/2006,01/30/2006,333
01/30/2007,01/30/2007,375
01/30/2008,01/30/2008,349
01/30/2009,01/30/2009,383
01/30/2010,01/30/2010,320
01/30/2011,01/30/2011,313
01/30/2012,01/30/2012,339
01/30/2013,01/30/2013,392
01/30/2014,01/30/2014,376
01/30/2015,01/30/2015,464
01/30/2016,01/30/2016,421
01/30/2017,01/30/2017,439
01/30/2018,01/30/2018,369
01/31/2003,01/31/2003,419
01/31/2004,01/31/2004,408
01/31/2005,01/31/2005,398
01/31/2006,01/31/2006,374
01/31/2007,01/31/2007,395
01/31/2008,01/31/2008,358
01/31/2009,01/31/2009,392
01/31/2010,01/31/2010,297
01/31/2011,01/31/2011,339
01/31/2012,01/31/2012,369
01/31/2013,01/31/2013,495
01/31/2014,01/31/2014,365
01/31/2015,01/31/2015,452
01/31/2016,01/31/2016,402
01/31/2017,01/31/2017,432
01/31/2018,01/31/2018,341
02/01/2003,02/01/2003,437
02/01/2004,02/01/2004,370
02/01/2005,02/01/2005,542
02/01/2006,02/01/2006,425
02/01/2007,02/01/2007,474
02/01/2008,02/01/2008,425
02/01/2009,02/01/2009,417
02/01/2010,02/01/2010,412
02/01/2011,02/01/2011,447
02/01/2012,02/01/2012,431
02/01/2013,02/01/2013,492
02/01/2014,02/01/2014,493
02/01/2015,02/01/2015,466
02/01/2016,02/01/2016,494
02/01/2017,02/01/2017,470
02/01/2018,02/01/2018,317
02/02/2003,02/02/2003,355
02/02/2004,02/02/2004,373
02/02/2005,02/02/2005,428
02/02/2006,02/02/2006,371
02/02/2007,02/02/2007,393
02/02/2008,02/02/2008,321
02/02/2009,02/02/2009,424
02/02/2010,02/02/2010,389
02/02/2011,02/02/2011,360
02/02/2012,02/02/2012,369
02/02/2013,02/02/2013,417
02/02/2014,02/02/2014,361
02/02/2015,02/02/2015,467
02/02/2016,02/02/2016,410
02/02/2017,02/02/2017,445
02/02/2018,02/02/2018,351
02/03/2003,02/03/2003,424
02/03/2004,02/03/2004,464
02/03/2005,02/03/2005,401
02/03/2006,02/03/2006,459
02/03/2007,02/03/2007,393
02/03/2008,02/03/2008,307
02/03/2009,02/03/2009,377
02/03/2010,02/03/2010,406
02/03/2011,02/03/2011,357
02/03/2012,02/03/2012,437
02/03/2013,02/03/2013,397
02/03/2014,02/03/2014,393
02/03/2015,02/03/2015,450
02/03/2016,02/03/2016,420
02/03/2017,02/03/2017,466
02/03/2018,02/03/2018,349
02/04/2003,02/04/2003,450
02/04/2004,02/04/2004,416
02/04/2005,02/04/2005,474
02/04/2006,02/04/2006,390
02/04/2007,02/04/2007,341
02/04/2008,02/04/2008,377
02/04/2009,02/04/2009,365
02/04/2010,02/04/2010,356
02/04/2011,02/04/2011,379
02/04/2012,02/04/2012,386
02/04/2013,02/04/2013,380
02/04/2014,02/04/2014,397
02/04/2015,02/04/2015,507
02/04/2016,02/04/2016,492
02/04/2017,02/04/2017,487
02/04/2018,02/04/2018,280
02/05/2003,02/05/2003,406
02/05/2004,02/05/2004,405
02/05/2005,02/05/2005,366
02/05/2006,02/05/2006,326
02/05/2007,02/05/2007,384
02/05/2008,02/05/2008,377
02/05/2009,02/05/2009,348
02/05/2010,02/05/2010,410
02/05/2011,02/05/2011,394
02/05/2012,02/05/2012,359
02/05/2013,02/05/2013,422
02/05/2014,02/05/2014,439
02/05/2015,02/05/2015,387
02/05/2016,02/05/2016,472
02/05/2017,02/05/2017,385
02/05/2018,02/05/2018,292
02/06/2003,02/06/2003,474
02/06/2004,02/06/2004,485
02/06/2005,02/06/2005,307
02/06/2006,02/06/2006,377
02/06/2007,02/06/2007,413
02/06/2008,02/06/2008,366
02/06/2009,02/06/2009,380
02/06/2010,02/06/2010,345
02/06/2011,02/06/2011,349
02/06/2012,02/06/2012,383
02/06/2013,02/06/2013,388
02/06/2014,02/06/2014,393
02/06/2015,02/06/2015,424
02/06/2016,02/06/2016,443
02/06/2017,02/06/2017,380
02/06/2018,02/06/2018,297
02/07/2003,02/07/2003,506
02/07/2004,02/07/2004,407
02/07/2005,02/07/2005,334
02/07/2006,02/07/2006,381
02/07/2007,02/07/2007,423
02/07/2008,02/07/2008,376
02/07/2009,02/07/2009,338
02/07/2010,02/07/2010,312
02/07/2011,02/07/2011,331
02/07/2012,02/07/2012,375
02/07/2013,02/07/2013,370
02/07/2014,02/07/2014,407
02/07/2015,02/07/2015,354
02/07/2016,02/07/2016,460
02/07/2017,02/07/2017,401
02/07/2018,02/07/2018,302
02/08/2003,02/08/2003,374
02/08/2004,02/08/2004,339
02/08/2005,02/08/2005,423
02/08/2006,02/08/2006,472
02/08/2007,02/08/2007,375
02/08/2008,02/08/2008,398
02/08/2009,02/08/2009,297
02/08/2010,02/08/2010,311
02/08/2011,02/08/2011,376
02/08/2012,02/08/2012,382
02/08/2013,02/08/2013,442
02/08/2014,02/08/2014,385
02/08/2015,02/08/2015,394
02/08/2016,02/08/2016,417
02/08/2017,02/08/2017,428
02/08/2018,02/08/2018,301
02/09/2003,02/09/2003,360
02/09/2004,02/09/2004,430
02/09/2005,02/09/2005,398
02/09/2006,02/09/2006,369
02/09/2007,02/09/2007,373
02/09/2008,02/09/2008,398
02/09/2009,02/09/2009,402
02/09/2010,02/09/2010,367
02/09/2011,02/09/2011,344
02/09/2012,02/09/2012,375
02/09/2013,02/09/2013,413
02/09/2014,02/09/2014,365
02/09/2015,02/09/2015,421
02/09/2016,02/09/2016,420
02/09/2017,02/09/2017,432
02/09/2018,02/09/2018,325
02/10/2003,02/10/2003,511
02/10/2004,02/10/2004,432
02/10/2005,02/10/2005,369
02/10/2006,02/10/2006,440
02/10/2007,02/10/2007,337
02/10/2008,02/10/2008,376
02/10/2009,02/10/2009,358
02/10/2010,02/10/2010,424
02/10/2011,02/10/2011,362
02/10/2012,02/10/2012,389
02/10/2013,02/10/2013,393
02/10/2014,02/10/2014,451
02/10/2015,02/10/2015,429
02/10/2016,02/10/2016,423
02/10/2017,02/10/2017,493
02/10/2018,02/10/2018,369
02/11/2003,02/11/2003,427
02/11/2004,02/11/2004,428
02/11/2005,02/11/2005,429
02/11/2006,02/11/2006,367
02/11/2007,02/11/2007,351
02/11/2008,02/11/2008,406
02/11/2009,02/11/2009,363
02/11/2010,02/11/2010,352
02/11/2011,02/11/2011,409
02/11/2012,02/11/2012,395
02/11/2013,02/11/2013,392
02/11/2014,02/11/2014,373
02/11/2015,02/11/2015,419
02/11/2016,02/11/2016,391
02/11/2017,02/11/2017,497
02/11/2018,02/11/2018,262
02/12/2003,02/12/2003,422
02/12/2004,02/12/2004,473
02/12/2005,02/12/2005,358
02/12/2006,02/12/2006,385
02/12/2007,02/12/2007,417
02/12/2008,02/12/2008,358
02/12/2009,02/12/2009,369
02/12/2010,02/12/2010,388
02/12/2011,02/12/2011,390
02/12/2012,02/12/2012,394
02/12/2013,02/12/2013,391
02/12/2014,02/12/2014,472
02/12/2015,02/12/2015,403
02/12/2016,02/12/2016,423
02/12/2017,02/12/2017,369
02/12/2018,02/12/2018,271
02/13/2003,02/13/2003,434
02/13/2004,02/13/2004,437
02/13/2005,02/13/2005,323
02/13/2006,02/13/2006,367
02/13/2007,02/13/2007,401
02/13/2008,02/13/2008,379
02/13/2009,02/13/2009,378
02/13/2010,02/13/2010,409
02/13/2011,02/13/2011,337
02/13/2012,02/13/2012,344
02/13/2013,02/13/2013,516
02/13/2014,02/13/2014,417
02/13/2015,02/13/2015,457
02/13/2016,02/13/2016,414
02/13/2017,02/13/2017,435
02/13/2018,02/13/2018,245
02/14/2003,02/14/2003,443
02/14/2004,02/14/2004,395
02/14/2005,02/14/2005,349
02/14/2006,02/14/2006,416
02/14/2007,02/14/2007,418
02/14/2008,02/14/2008,350
02/14/2009,02/14/2009,385
02/14/2010,02/14/2010,389
02/14/2011,02/14/2011,289
02/14/2012,02/14/2012,345
02/14/2013,02/14/2013,402
02/14/2014,02/14/2014,514
02/14/2015,02/14/2015,442
02/14/2016,02/14/2016,365
02/14/2017,02/14/2017,415
02/14/2018,02/14/2018,244
02/15/2003,02/15/2003,366
02/15/2004,02/15/2004,413
02/15/2005,02/15/2005,356
02/15/2006,02/15/2006,369
02/15/2007,02/15/2007,426
02/15/2008,02/15/2008,447
02/15/2009,02/15/2009,328
02/15/2010,02/15/2010,350
02/15/2011,02/15/2011,318
02/15/2012,02/15/2012,402
02/15/2013,02/15/2013,474
02/15/2014,02/15/2014,477
02/15/2015,02/15/2015,416
02/15/2016,02/15/2016,418
02/15/2017,02/15/2017,457
02/15/2018,02/15/2018,210
02/16/2003,02/16/2003,332
02/16/2004,02/16/2004,332
02/16/2005,02/16/2005,435
02/16/2006,02/16/2006,350
02/16/2007,02/16/2007,443
02/16/2008,02/16/2008,385
02/16/2009,02/16/2009,353
02/16/2010,02/16/2010,359
02/16/2011,02/16/2011,380
02/16/2012,02/16/2012,317
02/16/2013,02/16/2013,504
02/16/2014,02/16/2014,386
02/16/2015,02/16/2015,439
02/16/2016,02/16/2016,440
02/16/2017,02/16/2017,422
02/16/2018,02/16/2018,134
02/17/2003,02/17/2003,381
02/17/2004,02/17/2004,393
02/17/2005,02/17/2005,411
02/17/2006,02/17/2006,395
02/17/2007,02/17/2007,364
02/17/2008,02/17/2008,348
02/17/2009,02/17/2009,338
02/17/2010,02/17/2010,475
02/17/2011,02/17/2011,300
02/17/2012,02/17/2012,369
02/17/2013,02/17/2013,444
02/17/2014,02/17/2014,415
02/17/2015,02/17/2015,438
02/17/2016,02/17/2016,404
02/17/2017,02/17/2017,485
02/17/2018,02/17/2018,172
02/18/2003,02/18/2003,485
02/18/2004,02/18/2004,406
02/18/2005,02/18/2005,376
02/18/2006,02/18/2006,341
02/18/2007,02/18/2007,329
02/18/2008,02/18/2008,379
02/18/2009,02/18/2009,433
02/18/2010,02/18/2010,376
02/18/2011,02/18/2011,318
02/18/2012,02/18/2012,341
02/18/2013,02/18/2013,420
02/18/2014,02/18/2014,437
02/18/2015,02/18/2015,448
02/18/2016,02/18/2016,418
02/18/2017,02/18/2017,486
02/18/2018,02/18/2018,124
02/19/2003,02/19/2003,465
02/19/2004,02/19/2004,433
02/19/2005,02/19/2005,286
02/19/2006,02/19/2006,344
02/19/2007,02/19/2007,372
02/19/2008,02/19/2008,329
02/19/2009,02/19/2009,410
02/19/2010,02/19/2010,355
02/19/2011,02/19/2011,363
02/19/2012,02/19/2012,345
02/19/2013,02/19/2013,408
02/19/2014,02/19/2014,404
02/19/2015,02/19/2015,385
02/19/2016,02/19/2016,423
02/19/2017,02/19/2017,421
02/19/2018,02/19/2018,52
02/20/2003,02/20/2003,424
02/20/2004,02/20/2004,452
02/20/2005,02/20/2005,331
02/20/2006,02/20/2006,404
02/20/2007,02/20/2007,411
02/20/2008,02/20/2008,394
02/20/2009,02/20/2009,420
02/20/2010,02/20/2010,352
02/20/2011,02/20/2011,329
02/20/2012,02/20/2012,308
02/20/2013,02/20/2013,389
02/20/2014,02/20/2014,386
02/20/2015,02/20/2015,536
02/20/2016,02/20/2016,410
02/20/2017,02/20/2017,397
02/20/2018,02/20/2018,10
02/21/2003,02/21/2003,417
02/21/2004,02/21/2004,367
02/21/2005,02/21/2005,325
02/21/2006,02/21/2006,377
02/21/2007,02/21/2007,402
02/21/2008,02/21/2008,388
02/21/2009,02/21/2009,436
02/21/2010,02/21/2010,280
02/21/2011,02/21/2011,360
02/21/2012,02/21/2012,371
02/21/2013,02/21/2013,410
02/21/2014,02/21/2014,458
02/21/2015,02/21/2015,455
02/21/2016,02/21/2016,424
02/21/2017,02/21/2017,433
02/21/2018,02/21/2018,1
02/22/2003,02/22/2003,432
02/22/2004,02/22/2004,354
02/22/2005,02/22/2005,396
02/22/2006,02/22/2006,398
02/22/2007,02/22/2007,277
02/22/2008,02/22/2008,387
02/22/2009,02/22/2009,318
02/22/2010,02/22/2010,356
02/22/2011,02/22/2011,358
02/22/2012,02/22/2012,413
02/22/2013,02/22/2013,458
02/22/2014,02/22/2014,412
02/22/2015,02/22/2015,445
02/22/2016,02/22/2016,393
02/22/2017,02/22/2017,424
02/22/2018,02/22/2018,5
02/23/2003,02/23/2003,366
02/23/2004,02/23/2004,497
02/23/2005,02/23/2005,401
02/23/2006,02/23/2006,386
02/23/2007,02/23/2007,383
02/23/2008,02/23/2008,369
02/23/2009,02/23/2009,389
02/23/2010,02/23/2010,283
02/23/2011,02/23/2011,382
02/23/2012,02/23/2012,409
02/23/2013,02/23/2013,422
02/23/2014,02/23/2014,367
02/23/2015,02/23/2015,505
02/23/2016,02/23/2016,360
02/23/2017,02/23/2017,422
02/23/2018,02/23/2018,8
02/24/2003,02/24/2003,406
02/24/2004,02/24/2004,420
02/24/2005,02/24/2005,396
02/24/2006,02/24/2006,453
02/24/2007,02/24/2007,307
02/24/2008,02/24/2008,370
02/24/2009,02/24/2009,449
02/24/2010,02/24/2010,344
02/24/2011,02/24/2011,321
